# nu	S_nu	dS_nu	Nsource
# GHz	mJy	mJy	---
334.93	0.1534	0.1557	5
335.49	-0.3577	0.1561	5
336.05	0.2601	0.1569	5
336.61	0.1158	0.1561	5
337.17	-0.0521	0.1553	5
337.73	0.0616	0.1546	5
338.30	-0.1564	0.1461	5
338.86	-0.0927	0.1372	5
339.43	-0.0422	0.1368	5
339.99	0.2087	0.1372	5
340.56	0.3557	0.1367	5
341.13	0.0575	0.1363	5
341.70	-0.0933	0.1353	5
342.27	-0.2416	0.1355	5
342.84	0.0851	0.1359	5
343.41	-0.0954	0.1370	5
343.98	0.1363	0.1395	5
344.56	-0.0712	0.1399	6
345.13	0.2027	0.1359	6
345.71	5.4879	0.1367	6
346.28	5.8340	0.1410	6
346.86	0.1178	0.1420	5
347.44	-0.0479	0.1450	5
348.02	-0.1705	0.1455	6
348.60	0.1253	0.1467	6
349.18	0.2556	0.1406	6
349.76	0.1966	0.1393	6
350.35	-0.0398	0.1390	6
350.93	0.1253	0.1401	6
351.51	-0.0680	0.1408	6
352.10	0.1634	0.1411	6
352.69	-0.0014	0.1423	6
353.28	-0.2435	0.1401	6
353.87	0.0341	0.1379	6
354.46	0.4148	0.1373	6
355.05	0.2098	0.1389	6
355.64	0.0631	0.1421	6
356.23	0.0061	0.1435	6
356.83	0.4351	0.1442	6
357.42	0.0527	0.1446	6
358.02	-0.2512	0.1473	6
358.62	-0.0423	0.1434	6
359.21	-0.0630	0.1484	6
359.81	-0.0453	0.1500	5
360.41	-0.1083	0.1512	5
361.01	-0.0022	0.1536	5
361.62	-0.1567	0.1551	5
362.22	0.1238	0.1892	5
362.82	0.6360	0.1918	5
363.43	0.1498	0.1918	5
364.03	0.1789	0.1845	5
364.64	-0.0008	0.1891	5
365.25	0.4365	0.1920	5
365.86	-0.1699	0.1901	5
366.47	-0.2480	0.1892	5
367.08	-0.1359	0.1880	5
367.69	-0.0678	0.1898	5
368.31	-0.0049	0.1795	6
368.92	0.0312	0.1812	6
369.53	-0.1311	0.1830	6
370.15	-0.1293	0.1858	6
370.77	-0.0952	0.1689	7
371.39	-0.2043	0.1660	7
372.01	-0.0024	0.1721	6
372.63	0.0622	0.1730	6
373.25	-0.2690	0.1756	6
373.87	0.1417	0.1770	6
374.49	-0.1944	0.1796	6
375.12	0.1796	0.1797	6
375.74	0.1914	0.1716	6
376.37	-0.0194	0.1703	6
377.00	0.1663	0.1704	6
377.63	0.0544	0.1749	6
378.26	-0.1597	0.1795	6
378.89	0.1988	0.1783	6
379.52	0.0200	0.1773	6
380.15	0.4949	0.1747	6
380.79	0.0605	0.1725	6
381.42	-0.0053	0.1712	6
382.06	0.1597	0.1734	6
382.70	0.1142	0.1742	6
383.33	-0.3926	0.1767	6
383.97	-0.1060	0.1786	6
384.61	-0.0460	0.1825	6
385.26	-0.1523	0.1811	6
385.90	-0.0755	0.1811	6
386.54	0.1909	0.1833	6
387.19	-0.3067	0.1895	7
387.83	0.1976	0.1896	7
388.48	0.2596	0.1907	7
389.13	0.0822	0.1993	7
389.78	0.2081	0.2103	7
390.43	0.0983	0.2080	7
391.08	-0.1518	0.2029	7
391.73	-0.0370	0.1990	7
392.38	0.0952	0.2005	7
393.04	0.0883	0.1996	7
393.69	-0.3097	0.1969	7
394.35	0.0374	0.1907	7
395.01	0.2328	0.1922	7
395.67	0.0701	0.1935	7
396.33	-0.2116	0.1946	7
396.99	-0.1786	0.1964	7
397.65	-0.2029	0.1947	7
398.31	0.0591	0.1944	7
398.98	-0.1461	0.1961	7
399.64	0.1591	0.1970	7
400.31	-0.2357	0.2005	7
400.98	-0.0313	0.2004	8
401.64	-0.0069	0.1994	8
402.31	0.1453	0.2013	8
402.99	0.0224	0.2040	8
403.66	0.1509	0.2013	8
404.33	-0.1682	0.2162	8
405.00	-0.4652	0.2173	7
405.68	-0.3819	0.2171	7
406.36	0.0204	0.2147	7
407.03	-0.4891	0.2142	7
407.71	-0.2963	0.2144	7
408.39	0.1004	0.2129	7
409.07	-0.1075	0.2135	7
409.76	0.3393	0.2135	7
410.44	-0.2085	0.2124	7
411.12	-0.0879	0.2109	7
411.81	-0.2652	0.2105	7
412.50	-0.0362	0.2097	7
413.19	0.1020	0.2098	7
413.87	0.0525	0.2100	7
414.56	-0.1923	0.2097	7
415.26	0.5319	0.2101	7
415.95	-0.1194	0.2098	7
416.64	0.2841	0.2143	7
417.34	0.0525	0.2170	7
418.03	0.0213	0.2155	8
418.73	-0.2771	0.2179	8
419.43	0.0556	0.2224	8
420.13	0.1187	0.2326	8
420.83	-0.1601	0.2086	8
421.53	0.1525	0.2208	8
422.23	0.1036	0.2231	8
422.94	-0.2657	0.2215	8
423.64	-0.0095	0.1932	8
424.35	0.0350	0.1903	8
425.06	-0.1652	0.1916	8
425.77	-0.0035	0.1911	8
426.48	-0.1284	0.1909	8
427.19	-0.2629	0.1907	8
427.90	0.1377	0.1898	8
428.61	-0.0393	0.1899	8
429.33	0.3371	0.1894	8
430.05	0.1846	0.1917	8
430.76	-0.1336	0.1940	8
431.48	-0.2168	0.1949	8
432.20	-0.0604	0.1942	8
432.92	0.0795	0.1955	8
433.64	-0.1287	0.1941	8
434.37	0.0013	0.1957	8
435.09	0.2581	0.2002	7
435.82	0.2570	0.2033	7
436.54	0.3366	0.2034	7
437.27	0.2973	0.1994	7
438.00	0.0075	0.1997	7
438.73	-0.1980	0.1999	7
439.46	0.1700	0.2020	7
440.20	-0.0599	0.2114	8
440.93	0.7218	0.2092	9
441.67	0.2194	0.2091	9
442.40	-0.4141	0.2043	9
443.14	0.3730	0.2034	9
443.88	0.3618	0.2026	9
444.62	-0.0876	0.2068	9
445.36	-0.1987	0.2059	9
446.10	0.0968	0.2046	10
