# Each modeled source, with all params.
# lensed? is a flag for if the source is lensed; if F, its position is relative to the ALMA phase center; if T, to the lens galaxy
# reff is the circularized half-light radius in arcsec
# nS is the Sersic profile index (0.5=gaussian, 1=expdisk, 4=deVaucoleurs)
# b/a is the source axis ratio, minor/major, at position angle phiS
# mu870 is the magnification as (apparent flux)/(intrinsic flux)
# reff of 0 means the source was unresolved (pointlike) in the data, so roughly reff ~< 0.2"
#Source		src	zS	lensed?	xS	dxS	yS	dyS	S870	dS870	reff	dreff	nS	dnS	b/a	db/a	phiS	dphiS	mu870	dmu870
#------		---	--	T/F	arcsec	arcsec	arcsec	arcsec	mJy	mJy	arcsec	arcsec	nSersic	nSersic	axratio	axratio	degEofN	deg	---	---
SPT0346-52	A	5.655	T	-0.217	0.00	0.269	0.01	19.642	0.46	0.101	0.003	0.81	0.104	0.711	0.030	121.2	4.3	5.570	0.117
SPT0348-62	A	5.654	T	-6.107	0.02	1.222	0.02	17.330	1.11	0.173	0.013	0.500	0.000	0.853	0.093	57.8	21.4	1.161	0.001
SPT0348-62	B	5.654	T	-3.478	0.04	1.746	0.04	4.581	0.49	0.141	0.029	0.500	0.000	0.550	0.110	6.9	27.2	1.257	0.002
SPT0348-62	C	5.654	T	-5.163	0.09	1.651	0.06	1.812	0.29	0.080	0.019	0.500	0.000	0.648	0.114	71.6	9.9	1.185	0.003
SPT0348-62	D	5.654	T	-5.878	0.21	1.362	0.10	3.382	0.60	0.180	0.030	0.500	0.000	0.526	0.088	148.0	44.8	1.166	0.006
SPT0403-58	A	4.056	T	1.106	0.10	0.815	0.09	24.141	1.48	0.486	0.020	0.500	0.000	1.000	0.000	0.0	0.0	1.650	0.076
SPT0403-58	B	4.056	T	1.159	0.10	0.895	0.09	3.640	0.47	0.051	0.022	0.500	0.000	1.000	0.000	0.0	0.0	1.729	0.171
SPT0404-59	A	nan	T	0.019	0.03	-0.285	0.03	2.874	0.57	0.126	0.029	0.500	0.000	1.000	0.000	0.0	0.0	4.098	0.616
SPT0418-47	A	4.225	T	0.013	0.00	0.050	0.01	2.583	0.23	0.092	0.008	0.74	0.182	0.859	0.031	133.9	10.2	32.701	2.658
SPT0441-46	A	4.480	T	-0.011	0.00	0.156	0.01	6.884	0.57	0.076	0.007	2.30	0.317	1.000	0.000	0.0	0.0	12.726	0.963
SPT0452-50	A	2.010	T	-0.632	0.11	1.217	0.21	30.735	2.32	0.265	0.015	1.50	0.216	1.000	0.000	0.0	0.0	1.708	0.102
SPT0459-58	A	4.856	T	-0.153	0.02	0.080	0.02	11.820	1.51	0.217	0.023	0.500	0.000	1.000	0.000	0.0	0.0	4.966	0.575
SPT0459-59	A	4.799	T	-0.084	0.02	0.291	0.03	11.262	1.11	0.323	0.023	0.500	0.000	0.603	0.073	170.7	6.2	4.241	0.383
SPT0459-59	B	4.799	T	-1.166	0.06	-0.982	0.07	3.218	0.41	0.205	0.048	0.500	0.000	1.000	0.000	0.0	0.0	1.538	0.055
SPT0529-54	A	3.368	T	-0.024	0.01	0.029	0.01	7.016	0.58	0.248	0.019	0.96	0.212	0.219	0.025	122.3	1.0	13.229	0.848
SPT0532-50	A	3.399	T	-0.046	0.01	0.003	0.00	13.232	0.85	0.134	0.007	0.35	0.119	0.896	0.054	101.5	16.2	10.039	0.567
SPT0538-50	A	2.785	T	0.076	0.01	0.147	0.02	3.768	0.43	0.060	0.006	0.500	0.000	1.000	0.000	0.0	0.0	18.813	2.270
SPT0538-50	B	2.785	T	0.153	0.02	-0.002	0.02	1.497	0.20	0.152	0.016	0.500	0.000	1.000	0.000	0.0	0.0	23.354	1.929
SPT2031-51	A	2.452	T	0.097	0.01	-0.248	0.01	15.327	0.78	0.170	0.008	1.44	0.174	0.881	0.052	99.1	12.5	3.893	0.164
SPT2048-55	A	4.090	T	0.047	0.01	0.091	0.01	9.266	1.06	0.111	0.010	1.71	0.322	0.963	0.047	124.9	19.0	6.255	0.700
SPT2052-56	A	nan	F	4.988	0.03	0.729	0.02	10.921	0.67	0.183	0.011	0.500	0.000	1.000	0.000	0.0	0.0	1.000	0.000
SPT2103-60	A	4.436	T	-0.857	0.02	0.803	0.02	2.293	0.16	0.073	0.004	0.500	0.000	0.778	0.075	3.9	12.6	27.843	1.760
SPT2132-58	A	4.768	T	0.045	0.01	-0.151	0.01	8.715	0.90	0.095	0.009	0.39	0.084	0.405	0.061	133.9	3.0	5.719	0.537
SPT2134-50	A	2.780	T	-0.006	0.00	-0.051	0.01	4.306	0.50	0.033	0.004	0.95	0.142	0.818	0.116	95.3	23.2	21.000	2.417
SPT2146-55	A	4.567	T	-0.234	0.01	0.089	0.00	8.342	0.61	0.136	0.010	2.29	0.278	0.749	0.052	58.6	6.3	6.649	0.407
SPT2146-56	A	nan	F	0.941	0.05	1.027	0.03	2.804	0.30	0.000	0.000	0.000	0.000	1.000	0.000	0.0	0.0	1.000	0.000
SPT2147-50	A	3.760	T	0.273	0.01	0.266	0.02	10.998	0.78	0.145	0.008	1.17	0.182	0.626	0.045	93.5	5.1	6.553	0.417
SPT2311-54	A	4.280	T	0.087	0.01	0.240	0.01	21.577	1.04	0.143	0.005	0.61	0.122	0.843	0.044	159.7	7.8	1.946	0.090
SPT2319-55	A	5.293	T	0.055	0.00	0.117	0.01	4.377	0.49	0.043	0.007	2.21	0.295	0.398	0.129	122.1	7.4	6.903	0.584
SPT2319-55	B	5.293	T	-0.001	0.01	-0.048	0.01	0.718	0.15	0.059	0.016	0.90	0.320	1.000	0.000	0.0	0.0	13.924	1.753
