# Reuter 2020 table D1
#Source		specz	S_3mm	err_3mm	S_2mm	err_2mm	S_1mm	err_1mm	S_870	err_870	S_500	err_500	S_350	err_350	S_250	err_250	S_160	err_160	S_100	err_100	
#---		---	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	
SPT0452-50	5.016	0.67	0.11	5.1	1.1	17.5	4.4	42.8	3.8	93.9	7.4	81.1	5.9	54.4	5.4	nan	9.8	nan	2.2
SPT0457-49	3.988	0.28	0.07	2.0	1.3	6.8	4.4	25.5	2.5	70.5	6.4	62.3	6.1	40.0	4.0	nan	8.5	nan	2.3
SPT0459-58	4.856	0.96	0.16	5.5	1.1	16.2	3.2	52.6	5.5	79.9	6.6	65.4	5.6	44.1	5.9	nan	9.4	nan	2.3
SPT0459-59	4.799	1.19	0.19	7.1	1.0	22.3	3.1	61.4	5.2	74.5	7.8	67.0	6.6	54.3	7.9	nan	9.2	nan	3.7
SPT0512-59	2.233	0.98	0.16	5.2	1.0	20.2	2.9	75.0	5.6	257.3	8.1	369.0	7.3	305.2	7.1	138.9	17.8	33.1	3.8
SPT0516-59	3.404	0.38	0.03	3.0	0.6	13.6	2.8	33.2	2.9	88.8	7.0	113.2	5.9	89.4	5.8	51.8	10.7	19.7	2.7
SPT0520-53	3.779	0.9	0.03	5.0	1.1	14.2	3.8	56.0	4.8	96.6	6.8	90.0	5.9	55.7	6.0	nan	7.2	nan	2.5
SPT0528-53	4.737	0.55	0.03	2.8	0.9	10.7	6.1	27.4	2.6	41.0	6.3	38.9	6.4	27.4	7.9	nan	nan	nan	nan
SPT0529-54	3.368	1.51	0.23	9.3	1.3	34.2	3.4	118.3	6.7	174.2	9.8	140.8	9.9	87.8	7.0	nan	22.5	nan	9.11
SPT0532-50	3.399	3.04	0.47	11.2	1.2	38.2	3.5	117.5	7.6	290.1	7.6	298.0	7.5	215.6	6.9	69.3	12.6	nan	2.7
SPT0538-50	2.786	nan	nan	8.5	1.1	29.5	3.4	125.2	5.0	360.4	9.1	425.8	8.5	343.5	7.9	141.9	15.7	31.3	1.8
SPT0544-40	4.269	1.45	0.05	5.9	1.7	9.7	4.9	86.9	7.1	132.0	8.4	121.4	5.6	68.0	5.6	nan	13.1	nan	3.4
SPT0550-53	3.128	0.61	0.12	3.7	0.6	17.6	3.1	53.0	5.7	97.2	10.7	89.0	10.1	68.7	9.8	28.1	8.9	7.9	2.3
SPT0551-48	2.583	nan	nan	10.7	1.4	22.7	5.2	138.7	4.4	420.3	11.9	600.2	19.9	632.6	11.9	nan	nan	nan	nan
SPT0551-50	3.164	1.04	0.17	4.7	0.6	24.3	2.9	74.0	6.3	196.9	7.5	189.9	7.3	148.8	7.1	63.4	13.7	13.3	2.5
SPT0552-42	4.438	1.14	0.05	6.8	1.4	21.4	5.4	48.3	3.9	74.2	7.5	48.2	5.8	37.2	6.3	nan	nan	nan	nan
SPT0553-50	5.323	1.08	0.05	3.3	1.1	9.6	6.8	43.3	4.3	66.6	8.6	46.7	5.9	27.2	6.6	nan	12.9	nan	2.6
SPT0555-62	4.815	0.94	0.04	8.6	1.3	23.3	5.2	55.8	3.4	86.8	6.9	81.1	5.3	78.9	5.7	56.2	16.8	22.6	4.2
SPT0604-64	2.481	1.33	0.03	11.3	1.1	46.4	5.7	150.3	7.6	440.1	11.7	620.2	12.6	509.1	12.9	206.6	24.8	51.2	4.4
SPT0611-55	2.026	0.17	0.03	0.7	0.4	2.7	1.9	65.2	7.3	249.7	10.2	315.5	9.5	260.5	10.9	nan	nan	nan	nan
SPT0625-58	2.727	1.62	0.06	9.2	1.3	34.0	5.2	125.2	6.1	320.7	8.8	393.9	8.7	323.8	7.4	149.9	17.8	25.7	4.6
SPT0652-55	3.347	1.86	0.06	14.6	1.3	42.3	5.8	172.1	7.4	325.4	7.9	296.6	7.6	186.2	7.7	nan	12.2	nan	4
SPT2031-51	2.452	0.79	0.03	4.3	0.9	19.3	4.8	64.5	3.1	225.1	7.2	246.3	7.1	227.0	7.8	91.4	12.7	21.9	4.4
SPT2037-65	3.998	8.82	0.08	19.58	1.25	41.51	4.07	131.3	5.6	237.0	11.7	198.5	9.3	129.1	10.3	nan	nan	nan	nan
SPT2048-55	4.090	1.89	0.06	6.8	1.2	17.4	3.9	54.1	4.1	80.3	8.7	91.3	6.2	47.9	8.7	nan	8.1	nan	2.3
SPT2101-60	3.155	0.88	0.04	6.1	1.0	20.1	4.3	61.9	6.0	185.8	7.0	234.5	8.3	170.2	7.8	nan	nan	nan	nan
SPT2103-60	4.436	0.99	0.16	8.7	1.1	27.9	4.5	77.5	6.2	111.0	6.7	83.8	5.4	47.9	5.4	nan	7.5	nan	2.2
SPT2129-57	3.260	0.86	0.04	4.7	1.0	21.9	4.4	87.4	6.0	148.3	7.9	184.2	8.6	154.8	6.1	91.9	15.6	34.3	3.1
SPT2132-58	4.768	1.42	0.23	6.3	1.0	28.7	4.5	57.9	4.9	80.0	7.4	74.9	7.1	57.2	11.2	nan	12.2	nan	3.0
SPT2134-50	2.780	1.13	0.18	5.9	1.3	21.2	4.9	101.2	6.8	268.8	9.2	331.5	9.0	349.7	8.8	196.4	21.5	49.3	3.0
SPT2146-55	4.567	1.18	0.19	5.0	1.3	17.4	3.9	54.5	3.7	83.3	8.8	69.1	11.6	64.8	11.8	nan	9.6	nan	2.5
SPT2147-50	3.760	0.76	0.12	6.0	1.1	21.3	3.9	61.3	4.5	121.4	7.8	115.1	7.0	71.7	7.3	nan	9.4	8.6	2.3
SPT2152-40	3.851	1.29	0.05	7.5	1.5	18.2	5.2	96.5	7.4	113.0	6.9	112.5	5.5	84.5	7.1	37.2	10.7	nan	3.9
SPT2203-41	5.194	0.96	0.04	7.3	1.2	29.9	5.2	63.2	5.8	78.6	6.7	48.4	5.2	37.7	4.4	nan	nan	nan	nan
SPT2232-61	2.894	0.73	0.04	6.8	1.4	22.2	5.0	60.2	4.5	210.3	7.5	214.9	8.2	168.0	8.7	nan	nan	nan	nan
SPT2311-45	2.507	0.78	0.04	5.3	1.3	15.0	11.7	59.7	4.0	154.5	7.7	197.6	8.0	163.8	6.1	89.5	12.3	11.8	3.6
SPT2311-54	4.280	0.62	0.04	5.3	1.0	17.5	3.0	44.1	3.2	95.1	6.6	105.7	7.3	85.3	10.2	nan	10.7	11.6	2.5
SPT2316-50	3.141	0.21	0.03	1.85	1.34	9.17	7.28	30.5	3.5	65.5	10.8	59.6	11.1	38.3	10.8	nan	nan	nan	nan
SPT2319-55	5.293	0.76	0.04	4.9	1.0	15.2	3.2	38.1	2.9	49.0	6.6	44.0	6.0	32.8	6.4	nan	8.4	nan	2.5
SPT2332-53	2.726	nan	nan	4.3	0.5	25.4	2.2	168.0	6.0	304.0	5.0	564.0	16.0	585.0	37.0	233.0	37.0	57.0	7.0
SPT2335-53	4.756	0.33	0.03	3.9	1.0	11.6	2.7	35.6	4.9	78.6	9.9	64.6	8.4	42.7	9.0	nan	nan	nan	nan
SPT2340-59	3.862	0.26	0.04	4.4	1.0	12.8	3.6	34.2	4.1	71.1	8.7	66.1	6.9	41.6	8.5	nan	9.8	nan	2.7
SPT2349-50	2.876	0.5	0.04	3.5	1.0	11.1	5.7	42.6	3.3	127.8	7.6	135.8	7.1	129.2	8.6	nan	25.6	nan	12.7
SPT2349-52	3.900	0.16	0.02	3.9	1.0	12.0	4.9	37.3	4.7	72.6	9.7	62.0	8.4	45.2	8.6	nan	nan	nan	nan
SPT2349-56	4.302	0.25	0.03	5.7	1.1	19.0	3.0	56.5	8.0	85.4	6.4	72.4	5.9	36.8	6.4	nan	10.9	nan	4
SPT2351-57	5.811	0.75	0.04	6.5	1.0	16.1	2.9	34.6	3.1	73.8	5.7	56.0	6.4	44.3	5.3	nan	14.5	nan	3.2
SPT2353-50	5.578	0.88	0.04	5.3	1.1	16.2	3.4	40.6	3.8	56.2	7.1	51.8	6.0	29.9	7.4	nan	13.8	nan	3.9
SPT2354-58	1.867	0.6	0.04	3.0	0.7	13.6	3.1	66.0	5.1	277.7	7.9	469.0	9.0	613.5	10.8	531.6	58.7	238.7	10.9
SPT2357-51	3.070	0.41	0.03	4.9	1.0	18.0	3.1	53.4	5.4	122.9	7.5	112.1	6.2	70.9	5.1	nan	11.2	nan	2.5
