# Reuter 2020 table F1
# updated with kappa from W&D+03; kappa_850um/m^2 kg^-1 = 0.038
#Source		specz	photoz	err	Tdust	Terr	lambda_peak	lens	mu	dmu	LFIR	LFIRerr	Mdust	Mdusterr	SFR	SFRerr
#---	---	K	K	um	---	---	1e13Lsun	1e13Lsun	1e9Msun	1e9Msun	1e3Msun/yr	1e3Msun/yr
SPT0528-53	4.737	4.3	0.9	58	22	87	12	0	5.5	0.62	0.3	0.1	0.38	0.21	0.72	1.1	0.8
SPT0529-54	3.368	4.7	0.5	32	3	122	10	1	13.23	0.85	0.3	0.04	1.76	0.29	0.40	0.8	0.3
SPT0532-50	3.399	4.0	0.5	44	7	88	6	1	10.04	0.57	0.8	0.09	1.63	0.32	0.53	1.7	0.2
SPT0538-50	2.785	3.0	0.4	42	6	92	7	1	20.10	2.98	0.3	0.07	0.91	0.21	0.30	0.7	0.2
SPT0544-40	4.269	4.0	0.6	53	18	85	9	0	5.5	0.62	0.9	0.2	1.19	0.64	2.29	2.2	1.5
SPT0550-53	3.128	4.1	0.6	35	8	112	12	0	5.5	0.62	0.3	0.1	1.57	0.79	2.35	0.9	0.6
SPT0551-48	2.583	2.8	0.3	62	21	85	9	0	5.5	0.62	2.0	0.5	1.97	0.98	3.01	6.1	4.0
SPT0551-50	3.164	3.5	0.5	44	8	93	6	0	5.5	0.62	0.8	0.1	1.67	0.77	2.54	1.7	1.1
SPT0552-42	4.438	4.9	0.9	36	5	102	11	0	5.5	0.62	0.4	0.1	1.75	0.74	2.66	1.5	1.0
SPT0553-50	5.323	4.2	0.9	59	18	84	13	0	5.5	0.62	0.6	0.1	0.63	0.34	0.88	1.8	1.2
SPT0555-62	4.815	4.8	0.7	62	15	73	7	0	5.5	0.62	0.7	0.1	0.68	0.34	0.89	2.9	1.9
SPT0604-64	2.481	3.0	0.4	42	8	98	5	0	5.5	0.62	1.4	0.3	3.55	1.64	4.41	3.0	1.9
SPT0611-55	2.026	2.5	0.4	53	9	104	2	0	5.5	0.62	0.5	0.1	0.68	0.29	0.84	0.8	0.5
SPT0625-58	2.727	3.4	0.4	39	6	93	5	0	5.5	0.62	1.1	0.2	3.48	1.52	4.54	2.4	1.5
SPT0652-55	3.347	4.2	0.5	40	4	108	7	0	5.5	0.62	1.3	0.2	3.66	1.44	4.17	4.0	2.6
