# Reuter 2020 table F1
#Source		specz	photoz	pzerr	Tdust	Tderr	l_peak	lp_err	model	mu	dmu	LFIR	LFIRerr	Mdust	Mdusterrhi	Mdusterrlo	SFR	SFRerr
#---		---	---	---	K	K	um	um	---	---	---	1e13Lsun	1e13Lsun	1e10Msun	1e10Msun	1e10Msun	1e3Msun/yr	1e3Msun/yr
SPT0002-52	2.351	2.3	0.3	59	16	86	6	0	5.50	0.62	0.8	0.2	0.96	0.38	1.08	2.6	1.7
SPT0020-51	4.123	4.2	0.7	50	15	92	9	1	5.48	0.45	0.9	0.2	1.93	0.41	0.52	2.4	0.6
SPT0027-50	3.444	3.7	0.5	52	7	88	4	1	5.49	0.43	1.5	0.2	2.04	0.28	0.28	3.2	0.5
SPT0054-41	4.877	4.3	0.7	58	11	89	8	0	5.50	0.62	1.2	0.2	1.74	0.75	2.14	4.3	2.8
SPT0103-45	3.090	4.1	0.5	33	4	114	9	1	5.34	0.49	0.7	0.1	2.85	0.56	0.69	2.5	0.7
SPT0106-64	4.910	4.5	0.4	66	10	76	6	0	5.50	0.62	1.8	0.2	1.94	0.80	2.41	7.0	4.5
SPT0109-47	3.614	3.8	0.5	58	9	86	6	1	12.25	17.51	0.5	0.7	0.33	1.16	0.64	1.3	1.9
SPT0112-55	3.443	6.2	1.0	56	19	108	4	0	5.50	0.62	0.19	0.05	0.20	0.09	0.21	0.5	0.3
SPT0113-46	4.233	5.6	0.9	31	4	113	14	1	23.86	0.51	0.10	0.02	0.48	0.15	0.28	0.3	0.1
SPT0125-47	2.515	2.6	0.3	66	23	83	5	1	5.47	0.76	2.4	0.6	4.38	0.68	0.94	4.9	0.8
SPT0125-50	3.957	4.5	0.4	68	12	74	5	1	14.17	1.05	0.48	0.06	0.86	0.13	0.15	1.1	0.1
SPT0136-63	4.299	4.5	0.8	43	8	99	9	0	5.50	0.62	0.7	0.1	1.34	0.59	1.65	1.6	1.1
SPT0147-64	4.803	5.3	0.6	48	12	91	10	0	5.50	0.62	1.0	0.2	2.27	1.00	3.25	2.6	1.7
SPT0150-59	2.788	3.7	0.6	37	6	95	7	0	5.50	0.62	0.6	0.1	2.06	0.84	2.42	2.1	1.3
SPT0155-62	4.349	6.2	0.6	30	2	112	9	0	5.50	0.62	1.1	0.2	6.20	2.91	7.14	2.8	1.9
SPT0202-61	5.018	5.6	0.5	67	20	66	5	1	8.28	1.04	1.0	0.2	2.31	0.39	0.52	2.7	0.4
SPT0226-45	3.233	3.9	0.6	64	12	88	7	0	5.50	0.62	0.8	0.1	0.79	0.32	0.90	2.7	1.8
SPT0243-49	5.702	6.8	0.7	34	7	103	14	1	5.09	0.46	0.7	0.2	6.53	2.23	4.71	2.4	0.9
SPT0245-63	5.626	5.4	0.8	60	17	56	2	1	1.00	0.00	3.7	0.5	9.41	0.92	1.03	18.1	1.0
SPT0300-46	3.595	3.9	0.7	44	8	96	10	1	3.53	0.82	1.0	0.3	2.77	0.76	1.22	3.2	1.1
SPT0311-58	6.901	6.4	1.0	57	22	71	11	1	2.0	0.2	1.4	0.3	0.88	0.44	1.42	2.8	1.9
SPT0314-44	2.934	2.8	0.5	47	8	93	5	0	5.50	0.62	1.5	0.2	2.82	1.05	4.02	3.2	2.1
SPT0319-47	4.510	4.8	0.6	59	20	84	9	1	2.88	0.28	1.6	0.3	3.06	0.63	0.83	5.2	1.1
SPT0345-47	4.296	3.3	0.4	71	15	64	4	1	7.95	0.48	1.1	0.1	1.44	0.18	0.21	3.2	0.3
SPT0346-52	5.655	4.6	0.5	79	15	68	6	1	5.57	0.12	1.9	0.2	3.21	0.54	0.65	6.4	0.7
SPT0348-62	5.654	5.2	0.9	63	16	89	2	1	1.18	0.01	2.2	0.3	2.95	0.33	0.39	9.6	0.7
SPT0402-45	2.683	2.8	0.3	60	11	89	5	0	5.50	0.62	2.5	0.4	2.50	1.02	3.03	7.9	5.0
SPT0403-58	4.056	4.3	0.7	55	20	88	9	1	1.66	0.19	1.8	0.4	2.67	0.58	0.73	5.8	1.5
SPT0418-47	4.225	4.2	0.5	58	11	91	2	1	32.70	2.66	0.18	0.03	0.11	0.01	0.02	0.6	0.1
SPT0425-40	5.135	3.7	1.1	69	11	72	8	0	5.50	0.62	0.8	0.1	0.58	0.25	0.70	3.7	2.4
SPT0436-40	3.852	6.1	1.3	51	8	101	9	0	5.50	0.62	0.7	0.1	0.94	0.38	1.10	2.1	1.4
SPT0441-46	4.480	5.0	0.6	51	17	93	10	1	12.73	0.96	0.34	0.06	0.70	0.16	0.23	1.1	0.3
#SPT0452-50	2.010	4.4	0.7	21	2	154	14	1	1.71	0.10	0.20	0.06	7.11	1.35	1.98	1.1	0.4
SPT0452-50	5.016	3.9	0.7	72	14	107	4	1	1.71	0.10	0.39	0.05	0.23	0.05	0.09	8.3	1.3
SPT0457-49	3.987	3.6	1.0	43	9	88	11	0	5.50	0.62	0.26	0.05	0.30	0.14	0.40	1.2	0.8
SPT0459-58	4.856	4.6	0.8	56	16	87	10	1	4.97	0.57	0.7	0.1	1.28	0.32	0.45	2.4	0.7
